Name,Url,Authority,Started On,Finished On,License Number
HackerRank Certificates Python (Basic),https://www.hackerrank.com/certificates/iframe/23c433cb0788,HackerRank,Dec 2023,,23C433CB0788
 Introduction to Microsoft Excel   by Coursera Project Network and offered through Coursera,https://www.coursera.org/account/accomplishments/certificate/FT3CQ8CWQ273,Coursera,Jan 2024,Jan 2034,
Network Support and Security course,https://www.credly.com/go/ZUfnWpv4,Cisco Networking Academy,Sep 2023,,
Networking Basics course.,https://www.credly.com/go/lpecYItw,Cisco Networking Academy,Sep 2023,,
Introduction to Cybersecurity course.,https://www.credly.com/go/7oe25lnZ,Cisco Networking Academy,Sep 2023,,
Programming in C Certification,,Sololearn,Mar 2023,,CT-40HGD6JD
Introduction to Programming Using Python,,Sololearn,Dec 2023,,CC-3LUUFKZ4
 Programming in C Certification,https://www.codechef.com/certificates/verify,CodeChef,Aug 2023,,806460b
Google Ads for Beginners,https://www.coursera.org/account/accomplishments/records/8QFKYGJEWV39,Coursera,Jan 2024,,8QFKYGJEWV39
Problem Solving (Intermediate),https://www.hackerrank.com/certificates/b05c69793c32,HackerRank,Jan 2024,,b05c69793c32
Python for Beginners: Learn Python Programming (Python 3),https://verify.onwingspan.com,Infosys Springboard,Feb 2024,,
Full Stack Development: Introduction,https://skillsoft.digitalbadges.skillsoft.com/0ddc095e-c916-4635-b130-b051a96a461a,Skillsoft,Feb 2024,,93944026
Getting Started with AWS,,Simplilearn,Feb 2024,,4853038
Full Stack Software Developer Assessment,https://www.coursera.org/account/accomplishments/records/QM54NK5X7XMM,IBM,Feb 2024,,QM54NK5X7XMM
Certified Ethical Hacker (CEH),https://verify.onwingspan.com/,Infosys Springboard,Mar 2024,,
The complete 2024 web development bootcamp,https://www.udemy.com/certificate/UC-5b04883f-0d98-4ac9-9765-49a62ad8ad50,Udemy,Mar 2024,,UC-5b04883f-0d98-4ac9-9765-49a62ad8ad50
Introduction to Generative AI,https://www.cloudskillsboost.google/public_profiles/8267dbad-4cda-4a76-8628-76365ce14cd0/badges/8478874?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Mar 2024,,8478874
Introduction to Large Language Models,https://www.cloudskillsboost.google/public_profiles/8267dbad-4cda-4a76-8628-76365ce14cd0/badges/8479289?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Mar 2024,,8479289
CS50's Introduction to Programming with Python,https://cs50.harvard.edu/certificates/ca3c16ea-2bf0-41a2-a030-1af33f12df4e,CS50,May 2024,,
CS50's Introduction to Artificial Intelligence with Python,https://cs50.harvard.edu/certificates/369082c8-2613-460c-9444-ab452734ea00,CS50,Jun 2024,,
5-Day AI Agents Intensive Course with Google,https://www.kaggle.com/certification/badges/chepuriharikiran/105,Kaggle,Dec 2025,,
